CHROMATOGRAM,
D:\2023\Period 8-23\119188 - Kimberly\119188-3.raw,
Data points: 4800,
Time(min),uAU
0,0
0.03105147,0
0.032295519,1.41E-05
0.03353957,0.00364518
0.034783618,0.011470356
0.036027667,0.016635534
0.037271717,0.00700888
0.038515766,-0.025783671
0.039759815,-0.079490271
0.041003865,-0.141078343
0.042247914,-0.196867903
0.043491963,-0.236683409
0.044736013,-0.256753014
0.045980062,-0.258568567
0.047224111,-0.246619693
0.048468161,-0.226198237
0.04971221,-0.201793823
0.050956259,-0.176362003
0.052200309,-0.152436107
0.053444358,-0.131634651
0.054688407,-0.114393931
0.055932457,-0.099630246
0.057176506,-0.086259893
0.058420555,-0.074099907
0.059664605,-0.06310807
0.060908654,-0.053354749
0.062152702,-0.045571796
0.063396753,-0.039787359
0.064640802,-0.035719956
0.06588485,-0.032595514
0.067128901,-0.02990737
0.068372949,-0.027317744
0.069616998,-0.024404414
0.070861048,-0.02081553
0.072105097,-0.015974054
0.073349146,-0.010203691
0.074593196,-0.004771106
0.075837245,-9.85E-05
0.077081294,0.003631107
0.078325344,0.006699251
0.079569393,0.009795543
0.080813442,0.012666651
0.082057492,0.015397019
0.083301541,0.01783183
0.08454559,0.019900716
0.08578964,0.021617751
0.087033689,0.023208119
0.088277738,0.024868859
0.089521788,0.026248116
0.090765837,0.02751478
0.092009886,0.028894039
0.093253936,0.02990737
0.094497985,0.030822184
0.095742033,0.031905886
0.096986084,0.033130329
0.098230133,0.034594031
0.099474181,0.035776251
0.100718232,0.036339214
0.10196228,0.03691625
0.103206329,0.03774662
0.10445038,0.038999211
0.105694428,0.040589579
0.106938477,0.042011059
0.108182527,0.043629576
0.109426576,0.044994759
0.110670625,0.045768831
0.111914675,0.045698461
0.113158724,0.045487351
0.114402773,0.045290314
0.115646823,0.044783649
0.116890872,0.04347476
0.118134921,0.042391059
0.119378971,0.041532541
0.12062302,0.040899209
0.121867069,0.040040691
0.123111119,0.039280691
0.124355168,0.038802174
0.125599217,0.039435507
0.126843267,0.041068097
0.128087316,0.042559947
0.129331364,0.043418464
0.130575415,0.043657723
0.131819464,0.043657723
0.133063512,0.043685871
0.134307563,0.04364365
0.135551611,0.043685871
0.13679566,0.043587353
0.138039711,0.043685871
0.139283759,0.04371402
0.140527808,0.043418464
0.141771858,0.04267254
0.143015907,0.041377726
0.144259956,0.040744394
0.145504006,0.040716246
0.146748055,0.041138467
0.147992104,0.041434023
0.149236154,0.041574763
0.150480203,0.041673281
0.151724252,0.041222911
0.152968302,0.04042069
0.154212351,0.039083656
0.1554564,0.037690323
0.15670045,0.036564399
0.157944499,0.036282917
0.159188548,0.036409584
0.160432598,0.036536251
0.161676647,0.036662917
0.162920696,0.036409584
0.164164746,0.035916993
0.165408795,0.035579214
0.166652843,0.035410326
0.167896894,0.035579214
0.169140943,0.035551067
0.170384991,0.035044401
0.171629042,0.033834031
0.17287309,0.032609589
0.174117139,0.031722923
0.175361189,0.031863664
0.176605238,0.03267996
0.177849287,0.033439959
0.179093337,0.033890329
0.180337386,0.0332007
0.181581435,0.031793294
0.182825485,0.030118481
0.184069534,0.02886589
0.185313583,0.028528113
0.186557633,0.028894039
0.187801682,0.029471074
0.189045731,0.030259221
0.190289781,0.030976999
0.19153383,0.031554034
0.192777879,0.031835516
0.194021929,0.032046627
0.195265978,0.032032553
0.196510027,0.031891813
0.197754077,0.031652553
0.198998126,0.031511813
0.200242174,0.03146959
0.201486225,0.030920703
0.202730274,0.029485149
0.203974322,0.026642189
0.205218373,0.02275775
0.206462421,0.019197013
0.20770647,0.016945164
0.208950521,0.015734796
0.210194569,0.015115537
0.211438618,0.013708131
0.212682668,0.011498504
0.213926717,0.009246656
0.215170766,0.007417027
0.216414816,0.006586659
0.217658865,0.00662888
0.218902914,0.006896287
0.220146964,0.00679777
0.221391013,0.006122214
0.222635062,0.005165179
0.223879112,0.00433481
0.225123161,0.004165921
0.22636721,0.00454592
0.22761126,0.005052586
0.228855309,0.005671844
0.230099358,0.006642954
0.231343408,0.008064434
0.232587457,0.008993321
0.233831505,0.008866656
0.235075556,0.00783925
0.236319605,0.006671103
0.237563653,0.006122214
0.238807704,0.006431844
0.240051752,0.007473324
0.241295801,0.008655544
0.242539852,0.010020729
0.2437839,0.011442209
0.245027949,0.012483689
0.246271999,0.013018503
0.247516048,0.013398501
0.248760097,0.013736279
0.250004147,0.014059983
0.251248196,0.014130353
0.252492245,0.014454056
0.253736295,0.014622944
0.254980344,0.014679241
0.256224393,0.01432739
0.257468443,0.014580723
0.258712492,0.015453314
0.259956541,0.016382201
0.261200591,0.016325906
0.26244464,0.015425166
0.263688689,0.014172574
0.264932739,0.013201466
0.266176788,0.012286651
0.267420837,0.0115548
0.268664887,0.010991839
0.269908936,0.010625913
0.271152984,0.010752579
0.272397035,0.011217023
0.273641084,0.011948874
0.274885132,0.012694799
0.276129183,0.013328131
0.277373231,0.014158501
0.27861728,0.015242203
0.27986133,0.016255536
0.281105379,0.017099979
0.282349428,0.017747386
0.283593478,0.01776146
0.284837527,0.016818497
0.286081576,0.015678499
0.287325626,0.014637019
0.288569675,0.01380665
0.289813724,0.013328131
0.291057774,0.013102947
0.292301823,0.012891836
0.293545872,0.012483689
0.294789922,0.011611097
0.296033971,0.010231839
0.29727802,0.009302951
0.29852207,0.009232581
0.299766119,0.009795543
0.301010168,0.010668134
0.302254218,0.01186443
0.303498267,0.01328591
0.304742315,0.014425909
0.305986366,0.014834056
0.307230415,0.014045909
0.308474463,0.01283554
0.309718514,0.0123148
0.310962562,0.012863687
0.312206611,0.014130353
0.313450662,0.015565907
0.31469471,0.016832571
0.315938759,0.017817756
0.317182809,0.018535533
0.318426858,0.01901405
0.319670907,0.019337754
0.320914957,0.019548864
0.322159006,0.019802197
0.323403055,0.020407381
0.324647105,0.021631824
0.325891154,0.02341923
0.327135203,0.025671079
0.328379253,0.028387371
0.329623302,0.031371071
0.330867351,0.033355514
0.332111401,0.034326624
0.33335545,0.034805141
0.334599499,0.035325881
0.335843549,0.036043659
0.337087598,0.036859954
0.338331646,0.03774662
0.339575697,0.03871773
0.340819746,0.039674766
0.342063794,0.040561431
0.343307845,0.04087106
0.344551893,0.040617727
0.345795942,0.039885876
0.347039993,0.039928099
0.348284041,0.041054023
0.34952809,0.042982169
0.35077214,0.04534661
0.352016189,0.047626607
0.353260238,0.049188827
0.354504288,0.04989253
0.355748337,0.050230307
0.356992386,0.05041327
0.358236436,0.050694751
0.359480485,0.050962159
0.360724534,0.051525121
0.361968584,0.052003639
0.363212633,0.052059936
0.364456682,0.051496973
0.365700732,0.050638456
0.366944781,0.049850309
0.36818883,0.049287346
0.36943288,0.049273271
0.370676929,0.04937179
0.371920978,0.049329569
0.373165028,0.049005864
0.374409077,0.048949569
0.375653125,0.049470309
0.376897176,0.050230307
0.378141225,0.0511029
0.379385273,0.052045861
0.380629324,0.053129563
0.381873372,0.053805119
0.383117421,0.053819193
0.384361471,0.053453267
0.38560552,0.053171786
0.386849569,0.053608081
0.388093619,0.054269561
0.389337668,0.05488882
0.390581717,0.055353264
0.391825767,0.055606597
0.393069816,0.055465857
0.394313865,0.054874747
0.395557915,0.053974007
0.396801964,0.052862156
0.398046013,0.051708084
0.399290063,0.050990307
0.400534112,0.050821419
0.401778161,0.050835493
0.403022211,0.05086364
0.40426626,0.05124364
0.405510309,0.051792529
0.406754359,0.052791786
0.407998408,0.05391771
0.409242456,0.054663636
0.410486507,0.054916969
0.411730556,0.055099931
0.412974604,0.055606597
0.414218655,0.05578956
0.415462703,0.055662894
0.416706752,0.05526882
0.417950803,0.05460734
0.419194851,0.053608081
0.4204389,0.052186601
0.42168295,0.050371049
0.422926999,0.04863994
0.424171048,0.047443644
0.425415098,0.04638809
0.426659147,0.045360684
0.427903196,0.044854019
0.429147246,0.0451355
0.430391295,0.04572661
0.431635344,0.04624735
